'cornellnumber','NameQTL','FatherQTL','MotherQTL','Population','name','generationdescription','number','mom','dad','sex_male.1_'
'F07F223',F07F223,F05F334F207F2ped43,F06F458F207F2ped43,F207,5m,F2,480,474,475,1
'F07F222',F07F222,F05F334F207F2ped43,F06F458F207F2ped43,F207,6m,F2,481,474,475,1
'F07F221',F07F221,F05F334F207F2ped43,F06F458F207F2ped43,F207,7m,F2,482,474,475,1
'F07F220',F07F220,F05F334F207F2ped43,F06F458F207F2ped43,F207,8f,F2,483,474,475,2
'F05F436',F05F436F207F2ped43,0,0,F207,6813(03),aggr,484,0,0,1
'F05F539',F05F539F207F2ped43,0,0,F207,Dina_99,tame,485,0,0,2
'F05F587',F05F587F207F2ped43,0,0,F207,Altay_04,tame,486,0,0,1
'F05F479',F05F479F207F2ped43,0,0,F207,6866(03),aggr,487,0,0,2
'F06F479',F06F479F207F2ped44,F03F169F207F2ped44,F04F656F207F2ped44,F207,Schelf_06,F1,488,497,498,1
'F05F299',F05F299F207F2ped44,F05F588F207F2ped44,F08F288F207F2ped44,F207,Taina_05,F1,489,499,500,2
'F07F275',F07F275,F06F479F207F2ped44,F05F299F207F2ped44,F207,1f,F2,490,488,489,2
'F07F274',F07F274,F06F479F207F2ped44,F05F299F207F2ped44,F207,2f,F2,491,488,489,2
