'cornellnumber','NameQTL','FatherQTL','MotherQTL','Population','name','generationdescription','number','mom','dad','sex_male.1_'
'F05F539',F05F539F207F2ped26.5,0,0,F207,Dina_99,tame,296,0,0,2
'F06F465',F06F465F207F2ped27,F04F014F207F2ped27,F03F340F207F2ped27,F207,Pele_06,F1,297,306,307,1
'F06F472',F06F472F207F2ped27,F05F439F207F2ped27,F05F511F207F2ped27,F207,Djuna_06,F1,298,308,309,2
'F07F185',F07F185,F06F465F207F2ped27,F06F472F207F2ped27,F207,1f,F2,299,297,298,2
'F07F186',F07F186,F06F465F207F2ped27,F06F472F207F2ped27,F207,2m,F2,300,297,298,1
'F07F187',F07F187,F06F465F207F2ped27,F06F472F207F2ped27,F207,3m,F2,301,297,298,1
'F07F188',F07F188,F06F465F207F2ped27,F06F472F207F2ped27,F207,4f,F2,302,297,298,2
'F07F189',F07F189,F06F465F207F2ped27,F06F472F207F2ped27,F207,5f,F2,303,297,298,2
'F07F190',F07F190,F06F465F207F2ped27,F06F472F207F2ped27,F207,6m,F2,304,297,298,1
'F07F191',F07F191,F06F465F207F2ped27,F06F472F207F2ped27,F207,7f,F2,305,297,298,2
'F04F014',F04F014F207F2ped27,0,0,F207,6913(04),aggr,306,0,0,1
'F03F340',F03F340F207F2ped27,0,0,F207,Pritti_03,tame,307,0,0,2
'F05F439',F05F439F207F2ped27,0,0,F207,6817(03),aggr,308,0,0,1
'F05F511',F05F511F207F2ped27,0,0,F207,Dezhi_03,tame,309,0,0,2
'F05F334',F05F334F207F2ped28,F05F436F207F2ped28,F05F539F207F2ped28,F207,Dinat_05,F1,310,316,317,1
'F05F325',F05F325F207F2ped28,F05F439F207F2ped28,F05F505F207F2ped28,F207,Dota_05,F1,311,318,319,2
'F07F300',F07F300,F05F334F207F2ped28,F05F325F207F2ped28,F207,1m,F2,312,310,311,1
'F07F299',F07F299,F05F334F207F2ped28,F05F325F207F2ped28,F207,2f,F2,313,310,311,2
'F07F298',F07F298,F05F334F207F2ped28,F05F325F207F2ped28,F207,3m,F2,314,310,311,1
'F07F297',F07F297,F05F334F207F2ped28,F05F325F207F2ped28,F207,4m,F2,315,310,311,1
'F05F436',F05F436F207F2ped28,0,0,F207,6813(03),aggr,316,0,0,1
'F05F539',F05F539F207F2ped28,0,0,F207,Dina_99,tame,317,0,0,2
'F05F439',F05F439F207F2ped28,0,0,F207,6817(03),aggr,318,0,0,1
'F05F505',F05F505F207F2ped28,0,0,F207,Dorna_03,tame,319,0,0,2
'F05F320',F05F320F207F2ped29,F05F594F207F2ped29,F05F511F207F2ped29,F207,Djonrid_05,F1,320,329,330,1
'F05F326',F05F326F207F2ped29,F05F439F207F2ped29,F05F505F207F2ped29,F207,Drapa_05,F1,321,331,332,2
'F07F307',F07F307,F05F320F207F2ped29,F05F326F207F2ped29,F207,1m,F2,322,320,321,1
'F07F306',F07F306,F05F320F207F2ped29,F05F326F207F2ped29,F207,2f,F2,323,320,321,2
'F07F305',F07F305,F05F320F207F2ped29,F05F326F207F2ped29,F207,3m,F2,324,320,321,1
'F07F304',F07F304,F05F320F207F2ped29,F05F326F207F2ped29,F207,4m,F2,325,320,321,1
'F07F303',F07F303,F05F320F207F2ped29,F05F326F207F2ped29,F207,5f,F2,326,320,321,2
'F07F302',F07F302,F05F320F207F2ped29,F05F326F207F2ped29,F207,6m,F2,327,320,321,1
'F07F301',F07F301,F05F320F207F2ped29,F05F326F207F2ped29,F207,7m,F2,328,320,321,1
'F05F594',F05F594F207F2ped29,0,0,F207,6711(02),aggr,329,0,0,1
'F05F511',F05F511F207F2ped29,0,0,F207,Dezhi_03,tame,330,0,0,2
'F05F439',F05F439F207F2ped29,0,0,F207,6817(03),aggr,331,0,0,1
'F05F505',F05F505F207F2ped29,0,0,F207,Dorna_03,tame,332,0,0,2
'F05F564',F05F564F206F2ped3,F05F439F206F2ped3,F05F590F206F2ped3,F206,Avsey_05,F1,24,32,33,1
'F05F566',F05F566F206F2ped3,F05F437F206F2ped3,F05F591F206F2ped3,F206,Agita_05,F1,25,34,35,2
'F06F817',F06F817,F05F564F206F2ped3,F05F566F206F2ped3,F206,1m,F2,26,24,25,1
'F06F818',F06F818,F05F564F206F2ped3,F05F566F206F2ped3,F206,2f,F2,27,24,25,2
'F06F819',F06F819,F05F564F206F2ped3,F05F566F206F2ped3,F206,3m,F2,28,24,25,1
'F06F820',F06F820,F05F564F206F2ped3,F05F566F206F2ped3,F206,4f,F2,29,24,25,2
'F06F821',F06F821,F05F564F206F2ped3,F05F566F206F2ped3,F206,5f,F2,30,24,25,2
'F06F822',F06F822,F05F564F206F2ped3,F05F566F206F2ped3,F206,6m,F2,31,24,25,1
'F05F439',F05F439F206F2ped3,0,0,F206,6817(03),aggr,32,0,0,1
'F05F590',F05F590F206F2ped3,0,0,F206,Aglaida_04,tame,33,0,0,2
'F05F437',F05F437F206F2ped3,0,0,F206,6819(03),aggr,34,0,0,1
'F05F591',F05F591F206F2ped3,0,0,F206,Azha_04,tame,35,0,0,2
'F05F316',F05F316F207F2ped30,F05F437F207F2ped30,F05F506F207F2ped30,F207,Lukas_05,F1,333,343,344,1
'F06F483',F06F483F207F2ped30,F04F056F207F2ped30,F04F645F207,F207,Elba_06,F1,334,345,346,2
'F07F259',F07F259,F05F316F207F2ped30,F06F483F207F2ped30,F207,1f,F2,335,333,334,2
'F07F258',F07F258,F05F316F207F2ped30,F06F483F207F2ped30,F207,2f,F2,336,333,334,2
'F07F257',F07F257,F05F316F207F2ped30,F06F483F207F2ped30,F207,3f,F2,337,333,334,2
'F07F256',F07F256,F05F316F207F2ped30,F06F483F207F2ped30,F207,4f,F2,338,333,334,2
'F07F255',F07F255,F05F316F207F2ped30,F06F483F207F2ped30,F207,5m,F2,339,333,334,1
'F07F254',F07F254,F05F316F207F2ped30,F06F483F207F2ped30,F207,6f,F2,340,333,334,2
'F07F253',F07F253,F05F316F207F2ped30,F06F483F207F2ped30,F207,7f,F2,341,333,334,2
'F07F252',F07F252,F05F316F207F2ped30,F06F483F207F2ped30,F207,8f,F2,342,333,334,2
'F05F437',F05F437F207F2ped30,0,0,F207,6819(03),aggr,343,0,0,1
'F05F506',F05F506F207F2ped30,0,0,F207,Lara03,tame,344,0,0,2
'F04F056',F04F056F207F2ped30,0,0,F207,6903(04),aggr,345,0,0,1
'F04F645',F04F645F207,0,0,F207,Eola_04,tame,346,0,0,2
'F06F469',F06F469F207F2ped31,F05F439F207F2ped31,F05F511F207F2ped31,F207,Dulut_06,F1,347,354,355,1
'F06F485',F06F485F207F2ped31,F04F056F207F2ped31,F04F645F207F2ped31,F207,Emira_06,F1,348,356,357,2
'F07F143',F07F143,F06F469F207F2ped31,F06F485F207F2ped31,F207,1m,F2,349,347,348,1
'F07F144',F07F144,F06F469F207F2ped31,F06F485F207F2ped31,F207,2m,F2,350,347,348,1
'F07F145',F07F145,F06F469F207F2ped31,F06F485F207F2ped31,F207,3f,F2,351,347,348,2
'F07F146',F07F146,F06F469F207F2ped31,F06F485F207F2ped31,F207,4m,F2,352,347,348,1
'F07F147',F07F147,F06F469F207F2ped31,F06F485F207F2ped31,F207,5m,F2,353,347,348,1
'F05F439',F05F439F207F2ped31,0,0,F207,6817(03),aggr,354,0,0,1
'F05F511',F05F511F207F2ped31,0,0,F207,Dezhi_03,tame,355,0,0,2
'F04F056',F04F056F207F2ped31,0,0,F207,6903(04),aggr,356,0,0,1
'F04F645',F04F645F207F2ped31,0,0,F207,Eola_04,tame,357,0,0,2
'F06F478',F06F478F207F2ped32,F03F169F207F2ped32,F04F656F207F2ped32,F207,Schtok_06,F1,358,367,368,1
'F06F489',F06F489F207F2ped32,F04F056F207F2ped32,F04F645F207F2ped32,F207,Epoha_06,F1,359,369,370,2
'F07F296',F07F296,F06F478F207F2ped32,F06F489F207F2ped32,F207,1f,F2,360,358,359,2
'F07F295',F07F295,F06F478F207F2ped32,F06F489F207F2ped32,F207,2m,F2,361,358,359,1
'F07F294',F07F294,F06F478F207F2ped32,F06F489F207F2ped32,F207,3m,F2,362,358,359,1
'F07F293',F07F293,F06F478F207F2ped32,F06F489F207F2ped32,F207,4m,F2,363,358,359,1
'F07F292',F07F292,F06F478F207F2ped32,F06F489F207F2ped32,F207,5m,F2,364,358,359,1
'F07F291',F07F291,F06F478F207F2ped32,F06F489F207F2ped32,F207,6f,F2,365,358,359,2
'F07F290',F07F290,F06F478F207F2ped32,F06F489F207F2ped32,F207,8f,F2,366,358,359,2
'F03F169',F03F169F207F2ped32,0,0,F207,6811(03),aggr,367,0,0,1
'F04F656',F04F656F207F2ped32,0,0,F207,Schuya_04,tame,368,0,0,2
'F04F056',F04F056F207F2ped32,0,0,F207,6903(04),aggr,369,0,0,1
'F04F645',F04F645F207F2ped32,0,0,F207,Eola_04,tame,370,0,0,2
'F06F478',F06F478F207F2ped33,F03F169F207F2ped33,F04F656F207F2ped33,F207,Schtok_06,F1,371,380,381,1
