cornellnumber,pedigree
F06F536,
F06F537,
F06F538,
F06F539,
F05F563,ped1
F05F323,ped1
F05F328,ped10
F05F090,ped10
F06F509,
F06F510,
F06F511,
F06F512,
F05F320,ped11
F05F307,ped11
F06F823,
F06F824,
F06F825,
F06F826,
F06F827,
F05F334,ped12
F05F580,ped12
F06F540,
F06F541,
F06F542,
F05F314,ped13
F05F562,ped13
F06F546,
F05F314,ped14
F05F319,ped14
F06F828,
F06F829,
F06F830,
F06F831,
F06F832,
F06F833,
F06F834,
F06F835,
F05F317,ped15
F05F326,ped15
F06F491,
F06F492,
F06F493,
F06F494,
F06F495,
F06F496,
F05F336,ped16
F05F032,ped16
F06F525,
F06F526,
F06F527,
F06F528,
F06F529,
F05F336,ped17
F05F312,ped17
F06F841,
F06F842,
F06F843,
F06F844,
F06F845,
F06F846,
F06F847,
F05F336,ped18
F05F305,ped18
F06F520,
F06F521,
F06F522,
F06F523,
F06F848,
F06F849,
F06F850,
F06F851,
F06F852,
F06F853,
F06F854,
F05F563,ped2
F05F311,ped2
F06F817,
F06F818,
F06F819,
F06F820,
F06F821,
F06F822,
F05F564,ped3
F05F566,ped3
F06F547,
F05F564,ped4
F05F579,ped4
F06F836,
F06F837,
F06F838,
F06F839,
F06F840,
F05F564,ped5
F05F302,ped5
F06F513,
F06F514,
F06F515,
F06F516,
F06F517,
F06F518,
F06F519,
F05F560,ped6
F05F332,ped6
F06F530,
F06F531,
F06F532,
F06F533,
F06F534,
F06F535,
F05F560,ped7
F05F301,ped7
F06F497,
F06F498,
F06F499,
F06F500,
F06F501,
F06F502,
ped8sire,ped8
F05F335,ped8
F06F503,
F06F504,
F06F505,
F06F506,
F06F507,
F06F508,
F05F558,ped9
F05F325,ped9
F05F594,ped11
F05F511,ped11
F05F526,ped11
F05F484,ped11
F05F436,ped12
F05F539,ped12
F05F587,ped12
F05F592,ped12
F05F437,ped13
F05F506,ped13
F05F439,ped13
F05F590,ped13
F05F437,ped14
F05F506,ped14
F05F594,ped14
F05F511,ped14
F05F437,ped15
F05F506,ped15
F05F439,ped15
F05F505,ped15
F05F439,ped16
F05F500,ped16
F05F442,ped16
F03S098,ped16
F05F439,ped17
F05F500,ped17
F05F437,ped17
F05F506,ped17
F05F439,ped18
F05F500,ped18
F05F526,ped18
F05F484,ped18
F05F439,ped2
F05F590,ped2
F05F437,ped2
F05F506,ped2
F05F439,ped3
F05F590,ped3
F05F437,ped3
F05F591,ped3
F05F439,ped4
F05F590,ped4
F05F587,ped4
F05F592,ped4
F05F439,ped5
F05F590,ped5
F05F492,ped5
F05F588,ped5
F05F439,ped6
F05F590,ped6
F05F436,ped6
F05F539,ped6
F05F439,ped7
F05F590,ped7
0F206F2,ped7
F05F492,ped7
F05F437,ped8
F05F512,ped8
F05F439,ped8
F05F500,ped8
000F206,ped9
0F206F2,ped9
F05F505,ped9
F05F439,ped1
F05F590,ped1
F05F594,ped1
F05F511,ped1
F05F439,ped10
F05F505,ped10
F03S207,ped10
F03S134,ped10
