cornell_number,mother,father
F07F190,F06F472,F06F465
F07F191,F06F472,F06F465
F04F014,NULL,NULL
F03F340,NULL,NULL
F05F439,NULL,NULL
F05F511,NULL,NULL
F05F334,F05F539,F05F436
F05F325,F05F505,F05F439
F07F300,F05F325,F05F334
F07F299,F05F325,F05F334
F07F298,F05F325,F05F334
F07F297,F05F325,F05F334
F05F436,NULL,NULL
F05F539,NULL,NULL
F05F439,NULL,NULL
F05F505,NULL,NULL
F05F320,F05F511,F05F594
F05F326,F05F505,F05F439
F07F307,F05F326,F05F320
F07F306,F05F326,F05F320
F07F305,F05F326,F05F320
F07F304,F05F326,F05F320
F07F303,F05F326,F05F320
F07F302,F05F326,F05F320
F07F301,F05F326,F05F320
F05F594,NULL,NULL
F05F511,NULL,NULL
F05F439,NULL,NULL
F05F505,NULL,NULL
F05F564,F05F590,F05F439
F05F566,F05F591,F05F437
F06F817,F05F566,F05F564
F06F818,F05F566,F05F564
F06F819,F05F566,F05F564
F06F820,F05F566,F05F564
F06F821,F05F566,F05F564
F06F822,F05F566,F05F564
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F437,NULL,NULL
F05F591,NULL,NULL
F05F316,F05F506,F05F437
F06F483,F04F645,F04F056
F07F259,F06F483,F05F316
F07F258,F06F483,F05F316
F07F257,F06F483,F05F316
F07F256,F06F483,F05F316
F07F255,F06F483,F05F316
F07F254,F06F483,F05F316
F07F253,F06F483,F05F316
F07F252,F06F483,F05F316
F05F437,NULL,NULL
F05F506,NULL,NULL
F04F056,NULL,NULL
F04F645,NULL,NULL
F06F469,F05F511,F05F439
F06F485,F04F645,F04F056
F07F143,F06F485,F06F469
F07F144,F06F485,F06F469
F07F145,F06F485,F06F469
F07F146,F06F485,F06F469
F07F147,F06F485,F06F469
F05F439,NULL,NULL
F05F511,NULL,NULL
F04F056,NULL,NULL
F04F645,NULL,NULL
F06F478,F04F656,F03F169
F06F489,F04F645,F04F056
F07F296,F06F489,F06F478
F07F295,F06F489,F06F478
F07F294,F06F489,F06F478
F07F293,F06F489,F06F478
F07F292,F06F489,F06F478
F07F291,F06F489,F06F478
F07F290,F06F489,F06F478
F03F169,NULL,NULL
F04F656,NULL,NULL
F04F056,NULL,NULL
F04F645,NULL,NULL
F06F478,F04F656,F03F169
F06F487,F04F645,F04F056
F07F282,F06F487,F06F478
F07F281,F06F487,F06F478
F07F280,F06F487,F06F478
F07F279,F06F487,F06F478
F07F278,F06F487,F06F478
F07F277,F06F487,F06F478
F07F276,F06F487,F06F478
F03F169,NULL,NULL
F04F656,NULL,NULL
F04F056,NULL,NULL
F04F645,NULL,NULL
F05F320,F05F511,F05F594
F05F335,F05F500,F05F439
F07F138,F05F335,F05F320
F07F139,F05F335,F05F320
F07F140,F05F335,F05F320
F07F141,F05F335,F05F320
F07F142,F05F335,F05F320
F05F594,NULL,NULL
F05F511,NULL,NULL
F05F439,NULL,NULL
F05F500,NULL,NULL
F06F486,F04F645,F04F056
F05F312,F05F506,F05F437
F07F159,F05F312,F06F486
F07F160,F05F312,F06F486
F07F161,F05F312,F06F486
F07F162,F05F312,F06F486
F07F163,F05F312,F06F486
F07F164,F05F312,F06F486
F04F056,NULL,NULL
F04F645,NULL,NULL
F05F437,NULL,NULL
F05F506,NULL,NULL
F05F328,F05F505,F05F439
F05F090,F03S134,F03S207
F07F289,F05F090,F05F328
F07F288,F05F090,F05F328
F07F287,F05F090,F05F328
F07F286,F05F090,F05F328
F05F439,NULL,NULL
F05F505,NULL,NULL
F03S207,NULL,NULL
F03S134,NULL,NULL
F06F479,F04F656,F03F169
ped37dam,F03F340,F04F014
F07F192,ped37dam,F06F479
F07F193,ped37dam,F06F479
F07F194,ped37dam,F06F479
F07F195,ped37dam,F06F479
F07F196,ped37dam,F06F479
F03F169,NULL,NULL
F04F656,NULL,NULL
F04F014,NULL,NULL
F03F340,NULL,NULL
F06F469,F05F511,F05F439
F06F875,F04F137,F03F355
F07F168,F06F875,F06F469
F07F169,F06F875,F06F469
F07F170,F06F875,F06F469
F07F171,F06F875,F06F469
F05F439,NULL,NULL
F05F511,NULL,NULL
F03F355,NULL,NULL
F04F137,NULL,NULL
F05F558,000F206,00F206F
F06F455,F04F047,F03F352
F07F149,F06F455,F05F558
F07F150,F06F455,F05F558
F07F151,F06F455,F05F558
F07F152,F06F455,F05F558
F07F153,F06F455,F05F558
00F206F,NULL,NULL
000F206,NULL,NULL
F03F352,NULL,NULL
F04F047,NULL,NULL
F05F564,F05F590,F05F439
F05F579,F05F592,F05F587
F06F547,F05F579,F05F564
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F587,NULL,NULL
F05F592,NULL,NULL
F06F451,F04F047,F03F352
F06F874,F04F137,F03F355
F07F204,F06F874,F06F451
F03F352,NULL,NULL
F04F047,NULL,NULL
F03F355,NULL,NULL
F04F137,NULL,NULL
F05F309,F05F484,F05F532
F06F876,F04F137,F03F355
F07F205,F06F876,F05F309
F07F206,F06F876,F05F309
F07F207,F06F876,F05F309
F05F532,NULL,NULL
F05F484,NULL,NULL
F03F355,NULL,NULL
F04F137,NULL,NULL
F05F334,F05F539,F05F436
F06F452,F04F047,F03F352
F07F165,F06F452,F05F334
F07F166,F06F452,F05F334
F07F167,F06F452,F05F334
F05F436,NULL,NULL
F05F539,NULL,NULL
F03F352,NULL,NULL
F04F047,NULL,NULL
F05F334,F05F539,F05F436
F06F458,F05F479,F05F587
F07F227,F06F458,F05F334
F07F226,F06F458,F05F334
F07F225,F06F458,F05F334
F07F224,F06F458,F05F334
F07F223,F06F458,F05F334
F07F222,F06F458,F05F334
F07F221,F06F458,F05F334
F07F220,F06F458,F05F334
F05F436,NULL,NULL
F05F539,NULL,NULL
F05F587,NULL,NULL
F05F479,NULL,NULL
F06F479,F04F656,F03F169
F05F299,F08F288,F05F588
F07F275,F05F299,F06F479
F07F274,F05F299,F06F479
F07F273,F05F299,F06F479
F07F272,F05F299,F06F479
F07F271,F05F299,F06F479
F07F270,F05F299,F06F479
F07F269,F05F299,F06F479
F03F169,NULL,NULL
F04F656,NULL,NULL
F05F588,NULL,NULL
F08F288,NULL,NULL
F06F881,F05F512,F03F111
F05F580,F05F592,F05F587
F07F201,F05F580,F06F881
F07F202,F05F580,F06F881
F07F203,F05F580,F06F881
F03F111,NULL,NULL
F05F512,NULL,NULL
F05F587,NULL,NULL
F05F592,NULL,NULL
F06F471,F05F511,F05F439
F05F579,F05F592,F05F587
F07F268,F05F579,F06F471
F05F439,NULL,NULL
F05F511,NULL,NULL
F05F587,NULL,NULL
F05F592,NULL,NULL
F05F334,F05F539,F05F436
F05F303,F05F492,F05F588
F07F267,F05F303,F05F334
F07F266,F05F303,F05F334
F05F436,NULL,NULL
F05F539,NULL,NULL
F05F588,NULL,NULL
F05F492,NULL,NULL
F06F486,F04F645,F04F056
F05F302,F05F492,F05F588
F07F172,F05F302,F06F486
F07F173,F05F302,F06F486
F04F056,NULL,NULL
F04F645,NULL,NULL
F05F588,NULL,NULL
F05F492,NULL,NULL
F06F490,F04F645,F04F056
F05F307,F05F484,F05F532
F07F229,F05F307,F06F490
F07F228,F05F307,F06F490
F04F056,NULL,NULL
F04F645,NULL,NULL
F05F532,NULL,NULL
F05F484,NULL,NULL
F05F564,F05F590,F05F439
F05F302,F05F492,F05F588
F06F836,F05F302,F05F564
F06F837,F05F302,F05F564
F06F838,F05F302,F05F564
F06F839,F05F302,F05F564
F06F840,F05F302,F05F564
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F492,NULL,NULL
F05F588,NULL,NULL
F05F320,F05F511,F05F594
F05F020,F05F484,F04F683
F07F154,F05F020,F05F320
F07F155,F05F020,F05F320
F07F156,F05F020,F05F320
F07F157,F05F020,F05F320
F07F158,F05F020,F05F320
F05F594,NULL,NULL
F05F511,NULL,NULL
F04F683,NULL,NULL
F05F484,NULL,NULL
F05F336,F05F500,F05F439
F05F011,F03S136,F03S173
F07F174,F05F011,F05F336
F07F175,F05F011,F05F336
F07F176,F05F011,F05F336
F07F177,F05F011,F05F336
