1,,dogchr,dogloc,foxchr,foxloc
FH2258,74.2,14,42458159,VVU07.2pos,102091005
FH2189,84,14,49252008,VVU07.2pos,108884854
AHTK207,95.9,14,56692713,VVU07.2pos,116325559
REN208N23,,27,4660685,VVU08.1pos,4660685
PEZ16,4.4,27,7294974,VVU08.1pos,7294974
CM27.12b,11.7,27,9819164,VVU08.1pos,9819164
CM27.16,19,27,13281267,VVU08.1pos,13281267
CM27.18,22.8,27,15611497,VVU08.1pos,15611497
CM27.21b,25.2,27,18315623,VVU08.1pos,18315623
LEI002,26.9,27,18773098,VVU08.1pos,18773098
CM27.22e,27.9,27,19194903,VVU08.1pos,19194903
CM27.22,28.7,27,19847040,VVU08.1pos,19847040
CM27.22d,31.1,27,19032172,VVU08.1pos,19032172
PEZ6,39.8,27,40445873,VVU08.1pos,40445873
CM17.45,47,17,42302960,VVU08.2rev,67862809
CM17.40,49.4,17,37708268,VVU08.2rev,72457501
CM17.35,52.4,17,32303091,VVU08.2rev,77862678
REN294E18,58.4,17,23738302,VVU08.2rev,86427467
FH2321,74.5,17,9428416,VVU08.2rev,100737353
CM17.6,86.2,17,3086287,VVU08.2rev,107079482
AHT140,,25,46019781,VVU09.1rev,5609152
FH4027,1.7,25,45674138,VVU09.1rev,5954795
FH3627,12.2,25,39238235,VVU09.1rev,12390698
FH4041,18.1,25,36712079,VVU09.1rev,14916854
AHTK120,22.1,25,35439891,VVU09.1rev,16189042
FH3327,39.4,25,24388127,VVU09.1rev,27240806
FH2526,43.2,25,17224457,VVU09.1rev,34404476
FH2318,44.7,25,11156702,VVU09.1rev,40472231
PEZ19,45.6,20,1490670,VVU09.2pos,53119603
CPH16,58.8,20,28958763,VVU09.2pos,80587696
VV1816,68.6,20,42390830,VVU09.2pos,94019763
REN114M19,81.3,20,53608834,VVU09.2pos,105237767
DTR26.9,,26,8533110,VVU10.1pos,8533110
FH3426,12,26,13073739,VVU10.1pos,13073739
CM26.21,21.1,26,18078247,VVU10.1pos,18078247
CM26.20,24.8,26,17339089,VVU10.1pos,17339089
REN247M23,32.2,15,23092554,VVU10.2pos,62057244
FH2535,33.7,15,28146530,VVU10.2pos,67111220
RVC1,43.1,15,37756781,VVU10.2pos,76721471
CM15.47,50.7,15,44021479,VVU10.2pos,82986169
CM15.47b,53,15,44704525,VVU10.2pos,83669215
FH2360,69.4,15,53497538,VVU10.2pos,92462228
