cornellnumber,pedigree,generation
F03S098,ped16,1
F03S134,ped10,1
F03S207,ped10,1
F05F032,ped16,2
F05F090,ped10,2
F05F301,ped7,2
F05F302,ped5,2
F05F305,ped18,2
F05F307,ped11,2
F05F311,ped2,2
F05F312,ped17,2
F05F314,ped13,2
F05F314,ped14,2
F05F317,ped15,2
F05F319,ped14,2
F05F320,ped11,2
F05F323,ped1,2
F05F325,ped9,2
F05F326,ped15,2
F05F328,ped10,2
F05F332,ped6,2
F05F334,ped12,2
F05F335,ped8,2
F05F336,ped16,2
F05F336,ped17,2
F05F336,ped18,2
F05F436,ped12,1
F05F436,ped6,1
F05F437,ped13,1
F05F437,ped14,1
F05F437,ped15,1
F05F437,ped17,1
F05F437,ped2,1
F05F437,ped3,1
F05F437,ped8,1
F05F439,ped1,1
F05F439,ped10,1
F05F439,ped13,1
F05F439,ped15,1
F05F439,ped16,1
F05F439,ped17,1
F05F439,ped18,1
F05F439,ped2,1
F05F439,ped3,1
F05F439,ped4,1
F05F439,ped5,1
F05F439,ped6,1
F05F439,ped7,1
F05F439,ped8,1
F05F442,ped16,1
F05F484,ped11,1
F05F484,ped18,1
F05F492,ped5,1
F05F492,ped7,1
F05F500,ped16,1
F05F500,ped17,1
F05F500,ped18,1
F05F500,ped8,1
F05F505,ped10,1
F05F505,ped15,1
F05F505,ped9,1
F05F506,ped13,1
F05F506,ped14,1
F05F506,ped15,1
F05F506,ped17,1
F05F506,ped2,1
F05F511,ped1,1
F05F511,ped11,1
F05F511,ped14,1
F05F512,ped8,1
F05F526,ped11,1
F05F526,ped18,1
F05F539,ped12,1
F05F539,ped6,1
F05F558,ped9,2
F05F560,ped6,2
F05F560,ped7,2
F05F562,ped13,2
F05F563,ped1,2
F05F563,ped2,2
F05F564,ped3,2
F05F564,ped4,2
F05F564,ped5,2
F05F566,ped3,2
F05F579,ped4,2
F05F580,ped12,2
F05F587,ped12,1
F05F587,ped4,1
F05F588,ped5,1
F05F590,ped1,1
F05F590,ped13,1
F05F590,ped2,1
F05F590,ped3,1
F05F590,ped4,1
F05F590,ped5,1
F05F590,ped6,1
F05F590,ped7,1
F05F591,ped3,1
F05F592,ped12,1
F05F592,ped4,1
F05F594,ped1,1
F05F594,ped11,1
F05F594,ped14,1
F06F491,ped15,3
F06F492,ped15,3
F06F493,ped15,3
F06F494,ped15,3
F06F495,ped15,3
F06F496,ped15,3
F06F497,ped8,3
F06F498,ped8,3
F06F499,ped8,3
F06F500,ped8,3
F06F501,ped8,3
F06F502,ped8,3
F06F503,ped9,3
F06F504,ped9,3
F06F505,ped9,3
F06F506,ped9,3
F06F507,ped9,3
F06F508,ped9,3
F06F509,ped10,3
F06F510,ped10,3
F06F511,ped10,3
F06F512,ped10,3
F06F513,ped6,3
F06F514,ped6,3
F06F515,ped6,3
F06F516,ped6,3
F06F517,ped6,3
F06F518,ped6,3
F06F519,ped6,3
F06F520,ped18,3
F06F521,ped18,3
F06F522,ped18,3
F06F523,ped18,3
F06F525,ped16,3
F06F526,ped16,3
F06F527,ped16,3
F06F528,ped16,3
F06F529,ped16,3
F06F530,ped7,3
F06F531,ped7,3
F06F532,ped7,3
F06F533,ped7,3
F06F534,ped7,3
F06F535,ped7,3
F06F536,ped1,3
F06F537,ped1,3
F06F538,ped1,3
F06F539,ped1,3
F06F540,ped12,3
F06F541,ped12,3
F06F542,ped12,3
F06F546,ped13,3
F06F547,ped4,3
F06F817,ped3,3
F06F818,ped3,3
F06F819,ped3,3
F06F820,ped3,3
F06F821,ped3,3
F06F822,ped3,3
F06F823,ped11,3
F06F824,ped11,3
F06F825,ped11,3
F06F826,ped11,3
F06F827,ped11,3
F06F828,ped14,3
F06F829,ped14,3
F06F830,ped14,3
F06F831,ped14,3
F06F832,ped14,3
F06F833,ped14,3
F06F834,ped14,3
F06F835,ped14,3
F06F836,ped5,3
F06F837,ped5,3
F06F838,ped5,3
F06F839,ped5,3
F06F840,ped5,3
F06F841,ped17,3
F06F842,ped17,3
F06F843,ped17,3
F06F844,ped17,3
F06F845,ped17,3
F06F846,ped17,3
F06F847,ped17,3
F06F848,ped2,3
F06F849,ped2,3
F06F850,ped2,3
F06F851,ped2,3
F06F852,ped2,3
F06F853,ped2,3
F06F854,ped2,3
ped8sire,ped8,2
